1日元,いちえん
02日元,にえん
03日元,さんえん
4日元,よえん
5日元,ごえん
6日元,ろくえん
7日元,ななえん
8日元,はちえん
9日元,きゅうえん
10日元,じゅうえん
1万,いちまん
2万,にまん
3万,さんまん
4万,よんまん
5万,ごまん
6万,ろくまん
7万,ななまん
8万,はちまん
9万,きゅうまん
10万,じゅうまん
1千万,いっせんまん
2千万,にせんまん
3千万,さんぜんまん
4千万,よんせんまん
5千万,ごせんまん
6千万,ろくせんまん
7千万,ななせんまん
8千万,はっせんまん
9千万,きゅうせんまん
1亿,いちおく
2亿,におく
3亿,さんおく
4亿,よんおく
5亿,ごおく
6亿,ろくおく
7亿,ななおく
8亿,はちおく
9亿,きゅうおく
10亿,じゅうおく
1年,いちねん
2年,にねん
3年,さんねん
4年,よねん
5年,ごねん
6年,ろくねん
7年,しちねん/ななねん
8年,はちねん
9年,きゅうねん
10年,じゅうねん
1年间,いちねんかん
2年间,にねんかん
3年间,さんねんかん
4年间,よねんかん
5年间,ごねんかん
6年间,ろくねんかん
7年间,ななねんかん
8年间,はちねんかん
9年间,きゅうねんかん
10年间,じゅうねんかん
1个月,いっかげつ
2个月,にかげつ
3个月,さんかげつ
4个月,よんかげつ
5个月,ごかげつ
6个月,ろっかげつ
7个月,ななかげつ
8个月,はちかげつ/はっかげつ
9个月,きゅうかげつ
10个月,じゅっかげつ
1个星期,いっしゅうかん
2个星期,にしゅうかん
3个星期,さんしゅうかん
4个星期,よんしゅうかん
5个星期,ごしゅうかん
6个星期,ろくしゅうかん
7个星期,ななしゅうかん
8个星期,はっしゅうかん
9个星期,きゅうしゅうかん
10个星期,じゅっしゅうかん
1个小时,いちじかん
2个小时,にじかん
3个小时,さんじかん
4个小时,よじかん
5个小时,ごじかん
6个小时,ろくじかん
7个小时,しちじかん/ななじかん
8个小时,はちじかん
9个小时,くじかん
10个小时,じゅうじかん 
